"mumps","tcp","188","Plus Five's MUMPS","0.0"
"mumps","udp","188","Plus Five's MUMPS","5.27E-4"
"qft","tcp","189","Queued File Transport","1.3E-5"
"qft","udp","189","Queued File Transport","4.61E-4"
"gacp","tcp","190","Gateway Access Control Protocol","1.3E-5"
"cacp","udp","190","Gateway Access Control Protocol","4.28E-4"
"prospero","tcp","191","Prospero Directory Service","1.3E-5"
"prospero","udp","191","Prospero Directory Service","8.57E-4"
"osu-nms","tcp","192","OSU Network Monitoring System","1.3E-5"
"osu-nms","udp","192","OSU Network Monitoring System","0.004168"
"srmp","tcp","193","Spider Remote Monitoring Protocol","2.5E-5"
"srmp","udp","193","Spider Remote Monitoring Protocol","4.12E-4"
"irc","tcp","194","Internet Relay Chat | Internet Relay Chat Protocol","3.8E-5"
"irc","udp","194","Internet Relay Chat Protocol","6.43E-4"
"dn6-nlm-aud","tcp","195","DNSIX Network Level Module Audit","0.0"
"dn6-nlm-aud","udp","195","DNSIX Network Level Module Audit","3.95E-4"
"dn6-smm-red","tcp","196","DNSIX Session Mgt Module Audit Redir","2.5E-5"
"dn6-smm-red","udp","196","DNSIX Session Mgt Module Audit Redir","4.28E-4"
"dls","tcp","197","Directory Location Service","0.0"
"dls","udp","197","Directory Location Service","6.59E-4"
"dls-mon","tcp","198","Directory Location Service Monitor","0.0"
"dls-mon","udp","198","Directory Location Service Monitor","0.001252"
"smux","tcp","199","SNMP Unix Multiplexer","0.015945"
"smux","udp","199","","0.004152"
"src","tcp","200","IBM System Resource Controller","2.5E-5"
"src","udp","200","IBM System Resource Controller","6.26E-4"
"at-rtmp","tcp","201","AppleTalk Routing Maintenance","3.8E-5"
"at-rtmp","udp","201","AppleTalk Routing Maintenance","9.88E-4"
"at-nbp","tcp","202","AppleTalk Name Binding","2.5E-5"
"at-nbp","udp","202","AppleTalk Name Binding","4.45E-4"
"at-3","tcp","203","AppleTalk Unused","0.0"
"at-3","udp","203","AppleTalk Unused","4.61E-4"
"at-echo","tcp","204","AppleTalk Echo","2.5E-5"
"at-echo","udp","204","AppleTalk Echo","4.12E-4"
"at-5","tcp","205","AppleTalk Unused","1.3E-5"
"at-5","udp","205","AppleTalk Unused","8.9E-4"
"at-zis","tcp","206","AppleTalk Zone Information","2.5E-5"
"at-zis","udp","206","AppleTalk Zone Information","9.56E-4"
"at-7","tcp","207","AppleTalk Unused","0.0"
"at-7","udp","207","AppleTalk Unused","0.001351"
"at-8","tcp","208","AppleTalk Unused","0.0"
"at-8","udp","208","AppleTalk Unused","5.11E-4"
"tam","tcp","209","qmtp | Trivial Authenticated Mail Protocol | The Quick Mail Transfer Protocol","1.3E-5"
"tam","udp","209","Trivial Authenticated Mail Protocol","3.95E-4"
"z39.50","tcp","210","z39-50 | wais ANSI Z39.50 | ANSI Z39.50","1.25E-4"
"z39.50","udp","210","wais ANSI Z39.50","5.11E-4"
"914c-g","tcp","211","914c/g | Texas Instruments 914C/G Terminal","4.27E-4"
"914c-g","udp","211","Texas Instruments 914C/G Terminal","3.29E-4"
"anet","tcp","212","ATEXSSTR","3.64E-4"
"anet","udp","212","ATEXSSTR","3.29E-4"
"ipx","tcp","213","","3.8E-5"
"ipx","udp","213","","4.78E-4"
"vmpwscs","tcp","214","VM PWSCS","3.8E-5"
"vmpwscs","udp","214","","4.45E-4"
"softpc","tcp","215","Insignia Solutions","0.0"
"softpc","udp","215","Insignia Solutions","4.12E-4"
"atls","tcp","216","CAIlic | Access Technology License Server | Computer Associates Int'l License Server","1.3E-5"
"atls","udp","216","Access Technology License Server","4.61E-4"
"dbase","tcp","217","dBASE Unix","1.3E-5"
"dbase","udp","217","dBASE Unix","0.001993"
"mpp","tcp","218","Netix Message Posting Protocol","0.0"
"mpp","udp","218","Netix Message Posting Protocol","5.93E-4"
"uarps","tcp","219","Unisys ARPs","6.3E-5"
"uarps","udp","219","Unisys ARPs","3.95E-4"
"imap3","tcp","220","Interactive Mail Access Protocol v3","1.13E-4"
"imap3","udp","220","Interactive Mail Access Protocol v3","4.45E-4"
"fln-spx","tcp","221","Berkeley rlogind with SPX auth","5.0E-5"
"fln-spx","udp","221","Berkeley rlogind with SPX auth","5.77E-4"
"rsh-spx","tcp","222","Berkeley rshd with SPX auth","9.41E-4"
"rsh-spx","udp","222","Berkeley rshd with SPX auth","7.74E-4"
"cdc","tcp","223","Certificate Distribution Center","1.25E-4"
"cdc","udp","223","Certificate Distribution Center","3.46E-4"
